# == pyFAI calibration ==
# Distance Sample to Detector: 0.23901849966608074 m
# PONI: 2.853e-01, 1.238e-01 m
# Rotations: -0.000136 0.001317 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 239.019 mm
# Center: x=720.196, y=1660.328 pix
# Tilt: 0.076 deg  TiltPlanRot: 84.085 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.94369802997835e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lab6_100_00_0001p.xy
#       2th_deg             I 
  7.124712e+00    1.057008e+03
  7.135259e+00    1.058446e+03
  7.145806e+00    1.058182e+03
  7.156354e+00    1.058073e+03
  7.166901e+00    1.058706e+03
  7.177448e+00    1.059666e+03
  7.187996e+00    1.058485e+03
  7.198543e+00    1.054068e+03
  7.209090e+00    1.051943e+03
  7.219638e+00    1.050908e+03
  7.230185e+00    1.044692e+03
  7.240732e+00    1.019958e+03
  7.251280e+00    1.005369e+03
  7.261827e+00    9.953560e+02
  7.272374e+00    9.841199e+02
  7.282921e+00    9.764286e+02
  7.293469e+00    9.709259e+02
  7.304016e+00    9.662463e+02
  7.314563e+00    9.594524e+02
  7.325111e+00    9.554376e+02
  7.335658e+00    9.515805e+02
  7.346205e+00    9.463774e+02
  7.356753e+00    9.385984e+02
  7.367300e+00    9.332960e+02
  7.377847e+00    9.278010e+02
  7.388395e+00    9.234537e+02
  7.398942e+00    9.182548e+02
  7.409489e+00    9.147150e+02
  7.420037e+00    9.125214e+02
  7.430584e+00    9.099447e+02
  7.441131e+00    9.041964e+02
  7.451679e+00    9.011655e+02
  7.462226e+00    8.992650e+02
  7.472773e+00    8.962015e+02
  7.483320e+00    8.916943e+02
  7.493868e+00    8.891293e+02
  7.504415e+00    8.888276e+02
  7.514962e+00    8.856708e+02
  7.525510e+00    8.818079e+02
  7.536057e+00    8.788462e+02
  7.546604e+00    8.773575e+02
  7.557152e+00    8.728011e+02
  7.567699e+00    8.693602e+02
  7.578246e+00    8.681572e+02
  7.588794e+00    8.667761e+02
  7.599341e+00    8.622134e+02
  7.609888e+00    8.598425e+02
  7.620436e+00    8.586151e+02
  7.630983e+00    8.560914e+02
  7.641530e+00    8.517220e+02
  7.652078e+00    8.488458e+02
  7.662625e+00    8.479842e+02
  7.673172e+00    8.460659e+02
  7.683719e+00    8.421939e+02
  7.694267e+00    8.412147e+02
  7.704814e+00    8.401127e+02
  7.715361e+00    8.383582e+02
  7.725909e+00    8.358784e+02
  7.736456e+00    8.343825e+02
  7.747003e+00    8.329950e+02
  7.757551e+00    8.301528e+02
  7.768098e+00    8.264324e+02
  7.778645e+00    8.243962e+02
